# Recorded data from sensor XaB.v2
# Recording started on Oct 29 15:00:00
# Recording ended on Oct 29 15:15:59
# X, Y, Z, X', Y', Z'
55, 14, 48, 62, 78, 41
32, 52, 94, 11, 17, 83
83, 13, 61, 69, 44, 39
77, 34, 34, 2, 93, 24
25, 28, 49, 92, 3, 8
44, 87, 63, 62, 23, 98
90, 20, 6, 79, 32, 30
73, 91, 41, 36, 0, 93
63, 96, 17, 56, 30, 81
37, 56, 35, 90, 69, 35
32, 54, 87, 61, 81, 99
21, 77, 47, 54, 99, 36
93, 7, 85, 12, 67, 16
65, 53, 27, 59, 98, 94
23, 7, 59, 19, 75, 13
47, 68, 79, 83, 81, 86
51, 49, 84, 96, 71, 94
23, 99, 9, 17, 55, 70
49, 79, 62, 51, 6, 96
56, 16, 51, 18, 11, 23
98, 0, 78, 80, 75, 53
77, 30, 58, 41, 86, 17
93, 40, 62, 37, 92, 20
30, 86, 63, 45, 70, 99
2, 63, 89, 41, 95, 84
77, 10, 87, 24, 2, 86
43, 17, 82, 21, 52, 12
33, 65, 98, 38, 19, 10
52, 17, 68, 26, 61, 5
39, 94, 40, 99, 48, 20
58, 79, 79, 69, 71, 64
6, 12, 97, 4, 16, 98
79, 0, 40, 83, 49, 65
51, 13, 29, 84, 62, 29
60, 34, 12, 1, 12, 32
36, 92, 15, 44, 82, 60
6, 10, 72, 22, 62, 62
69, 98, 3, 34, 16, 61
21, 25, 2, 24, 93, 45
82, 18, 2, 79, 51, 73
93, 57, 75, 52, 77, 27
10, 61, 93, 79, 74, 67
6, 45, 94, 67, 68, 63
2, 54, 8, 32, 86, 49
60, 52, 22, 1, 19, 73
78, 70, 87, 87, 39, 86
0, 66, 89, 61, 28, 42
85, 36, 81, 45, 49, 80
96, 31, 82, 32, 88, 15
70, 95, 3, 53, 31, 48
